Designator,Mid X,Mid Y,Rotation,Layer
C1,35.5,73.5,-90,Top
C2,33.1,73.5,-90,Top
C3,40.3,66.7,180,Top
D1,30.1,75.7,-90,Top
D2,24.5,87.4,90,Top
FET1,32.5,45.195,180,Top
FID1,42.7,106.9,0,Top
FID2,5.095,71.15,0,Top
FID3,43.4,40.3,0,Top
J6,18.5,78.9,90,Top
J11,41.695,100.2,0,Top
R1,17.895,106.6,-90,Top
R2,30.1,71.7395,90,Top
R3,26.395,92.15,90,Top
R4,28.895,92.2125,90,Top
R5,23,92.15,90,Top
R6,28.695,83,-90,Top
R7,39.695,43.8,90,Top
R8,27.5,87.4,-90,Top
SW1,18.4,69.4,90,Top
SW2,24.2,69.4,90,Top
U1,40.3,72.7,-90,Top
